Account Name,Industry,Employee range,State (Bill to Address) (Address),Website,Main Phone,LinkedIn Company ID,SFDC ID
Air Treatment Corporation,Industrial Machinery Manufacturing,51-200,CA,http://www.airtreatment.com,+1 909-869-7975,683496,0016000000lc9hRAAQ
Gustave A. Larson Company,Wholesale,201-500,WI,https://www.galarson.com,+1 262-542-0200,711806,0016000000OonrNAAR
"Clarion Capital Partners, LLC",Financial Services,1001-5000,NY,http://www.clarion-capital.com/,+1 212-821-0111,1178164,0016000000j7g91AAA
Great Place to Work,Business Consulting and Services,51-200,CA,http://www.greatplacetowork.com,+1 415-503-1234,28924,0016000000T9RnVAAV
"ELM ENTERPRISES, L.L.C.",Utilities,1001-5000,IL,http://elmllc.com,+1 309-671-4300,331887,0016000000Q8FlWAAV
"Wood-Mode, Incorporated",Design Services,10001+,PA,http://www.woodmode.com,+1 570-374-2711,877945,0016000000Q8G7ZAAV
"United Refining, Inc.",Oil and Gas,1001-5000,PA,http://urc.com,+1 814-723-1500,765836,0016000000vcQA1AAM
Blj Worldwide Ltd.,Public Relations and Communications Services,Nov-50,NY,http://www.bljworldwide.com,+1 212-486-7070,3204304,0016000000T9RbTAAV
"One William Street Capital Management, L.P.",Financial Services,Nov-50,NY,http://www.owslp.com,+1 212-957-2500,705070,0016000000T9TE2AAN
Allmar Inc,Construction,201-500,MB,http://www.allmar.com,+1 204-668-1000,2568778,0016000000ZxIG4AAN
Velocity Trade Holdings Ltd,Financial Services,51-200,ON,http://www.velocitytrade.com/,+1 416-640-0590,615393,0016000000dhoCPAAY
"Interra Information Technologies, Inc.",IT Services and IT Consulting,Nov-50,CA,http://www.interrait.com,+1 408-451-1700,10479,0016000000e7Pf1AAE
"Gowell International, LLC",Oil and Gas,Nov-50,TX,http://www.gowellpetro.com,1 (713) 909-2555  +1.713.329.8230,2979482,0016000000uwB2HAAU
J.W. Lindsay Enterprises Limited,Construction,201-500,NS,http://www.lindsayconstruction.ca,+1 902-468-5000,600451,0016000000m4JLvAAM
Relentless Beats LLC,Entertainment Providers,10-Feb,AZ,http://relentlessbeats.com,+1 480-525-6500,15659736,0010d00001JSbh6AAD
"Golf Genius Software, LLC",Spectator Sports,10-Feb,PA,http://www.GolfGenius.com,+1 610-254-0590,5014111,0010d00001JkhJwAAJ
"Z2 Entertainment, LLC",Musicians,10-Feb,CO,http://bouldertheater.com,+1 303-786-7030,16132428,0010d00001JnfnYAAR
Innovatus Technology Consulting,IT Services and IT Consulting,Nov-50,CA,http://innovatus-tech.com,+1 619-994-4239,18345470,0010d00001JtW0jAAF
SunEdison,Renewable Energy Semiconductor Manufacturing,5001-10000,MO,http://www.sunedisoninfra.com,+1 636-474-5814,21520,0016000000JwsupAAB
United Insurance Group Career Agent Division,Insurance,51-200,MI,http://www.uigbrokerage.com/,+1 800-878-1058,570610,0016000000UiBtNAAV
Cenveo Worldwide Limited,Printing Services,5001-10000,CT,http://www.cenveo.com,+1 203-595-3000,10156,0016000000Q8IuvAAF
"Oberweis Dairy, Inc.",Dairy Product Manufacturing,501-1000,IL,https://www.oberweis.com/,+1 630-801-6100,44991,0016000000Q8FBUAA3
"New Enterprise Stone & Lime Co., Inc.",Construction,1001-5000,PA,http://www.nesl.com,+1 814-224-6883,10110556,0016000000Q8GPoAAN
"Phil Long Dealerships, Inc.",Motor Vehicle Manufacturing,1001-5000,CO,http://phillong.com,+1 719-575-7000,119679,0016000000Q8JKEAA3
"Historic Tours of America, Inc.",Travel Arrangements,1001-5000,FL,http://www.historictours.com,+1 855-629-8777,74555,0016000000T9QaJAAV
PMA Canada Ltd,Beverage Manufacturing,51-200,ON,http://www.pmacanada.com/,+1 905-257-2116,130709,0016000000T9Qs2AAF
Richardson Group Inc.,Professional Training and Coaching,201-500,PA,http://www.richardson.com,+1 215-940-9255,54163390,0016000000T9UROAA3
"Exchangeright Real Estate, LLC",Real Estate,51-200,CA,http://www.exchangeright.com,+1 855-317-4448,3055890,0013200001GoXKiAAN
"Team Car Care, LLC.",Motor Vehicle Manufacturing,201-500,TX,http://teamcarcare.jiffylube.com,+1 972-812-7900,12609616,0016000000T9X7cAAF
"Teacher Created Materials, Inc.",Book and Periodical Publishing,51-200,CA,http://www.teachercreatedmaterials.com,+1 714-891-2273,56799,0016000000Ui56XAAR
"Stewart Talent Agency, Inc.",Entertainment Providers,10-Feb,NY,http://www.stewarttalent.com,+1 212-315-5505,108065,0016000000UiCGiAAN
"Krieg Devault Alexander & Capehart , LLP",Law Practice,51-200,IN,http://www.kriegdevault.com,+1 317-636-4341,23981,0016000000UiaygAAB
KSR International Co,Motor Vehicle Manufacturing,501-1000,ON,http://www.ksrint.com,+1 519-674-0858,584333,0016000000Ukq5xAAB
Onemarketdata LLC,IT Services and IT Consulting,51-200,NJ,http://www.onetick.com,+1 201-710-5977,581255,0016000000V7av7AAB
"Contract Lumber, Inc.",Wholesale Building Materials,201-500,OH,http://www.contractlumber.com,+1 740-927-4242,301142,0016000000dEZPPAA4
Canadian Football League,Spectator Sports,Nov-50,Ontario,https://www.cfl.ca/,+1 416-322-9650,1305678,0016000000degfFAAQ
"Emerline, Inc.",IT Services and IT Consulting,51-200,CA,https://emerline.com,+1 650-823-7564,17926099,0013200001I7zPaAAJ
"Express Kcs, Inc.",Advertising Services,10-Feb,PA,http://www.expresskcs.com,+1 412-961-8160,135906,0016000000e7PPJAA2
Broker Genius Inc.,IT Services and IT Consulting,Nov-50,NY,http://www.brokergenius.com,+1 718-865-9339,3202903,0013200001IfKS2AAN
"Quantum Market Research, Inc.",Software Development,51-200,NE,https://www.quantumworkplace.com/privacy-policy,+1 402-206-2386,350249,0016000000gCOrxAAG
Titleone Exchange Company,Real Estate,10-Feb,ID,https://www.titleonecorp.com,+1 208-424-8511,86549,0016000000huqwgAAA
HILLS BANK AND TRUST COMPANY,Banking,201-500,IA,https://www.hillsbank.com,+1 319-679-2291,81852,0016000000husblAAA
"Intellect Solutions, LLC",Computer and Network Security,51-200,VA,http://www.intellectsolutions.com,+1 877-691-7477,3078109,0016000000k6fbOAAQ
SB Partners LLP,Accounting,10-Feb,ON,http://www.sbpartners.ca,+1 905-632-5978,121995,0016000000lcZo4AAE
"Furniture Row, LLC",Retail,1001-5000,CO,http://www.furniturerow.com/fr/,+1 303-578-1073,115293,0016000000T9XIlAAN
Wiline Networks Inc.,IT Services and IT Consulting,51-200,CA,http://www.wiline.com,+1 650-525-9365,35529,0016000000HB6jRAAT
Castle Placement,Investment Banking,10-Feb,NY,http://www.castleplacement.com/,+1 212-418-1188,3694214,0013200001FYkl4AAD
"PCP MANAGERS, LP",Venture Capital and Private Equity Principals,1001-5000,CA,http://www.parthenoncapitalpartners.com,+1 617-960-4000,22331,0016000000Q8FWFAA3
PHOTRONICS INC,Semiconductor Manufacturing,1001-5000,CT,http://www.photronics.com,+1 203-775-9000,11035,0016000000Q8G71AAF
"Vps Convenience Store Group, LLC",Real Estate,10001+,NC,http://www.vpstores.com,+1 910-395-5300,340129,0016000000Q8GdCAAV
Ki Industries,Plastics Manufacturing,Nov-50,IL,http://www.kiindustries.com/,+1 708-449-1990,132853,0016000000Ys2iTAAR
Cartodb Inc.,"Technology, Information and Internet",1,NY,https://carto.com,+1 917-463-3232,5084329,00160000013S94LAAS
CONTAX Inc.,IT Services and IT Consulting,Nov-50,ON,http://www.contax.com,+1 416-927-1913,326458,0016000000R5o2qAAB
One Planet Ops Inc.,"Technology, Information and Internet",201-500,CA,http://www.oneplanetops.com,+1 925-983-2800,6629910,0013200001GnuTjAAJ
"Farouk Systems, Inc.",Personal Care Product Manufacturing,1001-5000,TX,http://www.farouk.com,+1 281-876-2000,707765,0016000000T9W1eAAF
"Fortex Corporate Communications, LLC",Advertising Services,10-Feb,NY,http://www.thegutenberg.com,+1 212-239-8475,63602,0016000000T9WqCAAV
US Cloud Lc,IT Services and IT Consulting,Nov-50,MO,www.uscloud.com/,+1 800-200-8440,24999191,0016000000UiAB5AAN
CSIG Holding,Business Consulting and Services,10-Feb,IL,http://www.csig.com,+1 312-431-0450,55614,0016000000UiBQnAAN
Macaroni Kid LLC,Online Audio and Video Media,51-200,NY,http://www.macaronikid.com,+1 631-726-1412,392569,0016000000UiCBFAA3
"Automated Systems Design, Inc.",IT Services and IT Consulting,Nov-50,GA,http://www.asd-usa.com,+1 770-740-2300,223109,0016000000UiCNlAAN
Thermo Design Engineering Ltd,Oil and Gas,501-1000,AB,http://www.thermodesign.com,+1 780-440-6064,881684,0016000000WgomuAAB
Big Night Entertainment,Hospitality,10-Feb,MA,http://www.bneg.com,+1 617-338-4343,1036403,0016000000dDfTKAA0
Ortholite,Manufacturing,10-Feb,MA,http://ortholite.com,+1 413-253-0208,863775,0013200001HZ8AVAA1
Alexco Resource Corp,Environmental Services,51-200,BC,http://www.ensero.com,+1 604-633-4888,961340,0016000000eVlDWAA0
Owl Labs Inc,Telecommunications,51-200,MA,https://www.owllabs.com/,+1 941-928-2621,12903786,0013200001IfKdAAAV
Adeptia Inc.,Software Development,Nov-50,IL,https://adeptia.com,+1 312-229-1727 ext. 111,79129,0016000000hurduAAA
Leoch Battery Corporation,"Appliances, Electrical, and Electronics Manufacturing",10001+,CA,http://www.leoch.us,+1 949-588-5853,1594743,0016000000k7TE7AAM
"G.A. West & Co., Inc.",Construction,501-1000,AL,http://www.gawest.com,+1 251-679-1965,702394,0016000000Q8ET6AAN
EC Innovations USA Inc,Translation and Localization,10-Feb,DE,http://www.ECInnovations.com,+1 773-754-8208,1968866,0016000000slBKdAAM
Auto Warehousing Co.,Motor Vehicle Manufacturing,501-1000,WA,http://www.autowc.com,+1 253-922-0540,279550,0016000000Q8GlmAAF
"Warehouse Home Furnishings Distributors, Inc.",Retail,1001-5000,GA,http://www.farmersfurniture.com,+1 800-456-0424,10334571,0016000000Q8GuQAAV
"Peter Piper, Inc.",Restaurants,1001-5000,AZ,http://www.peterpiperpizza.com,+1 480-609-6400,93632,0016000000Q8I1vAAF
"SIZZLING PLATTER, LLC",Restaurants,1001-5000,UT,http://www.sizzlingplatter.com,+1 801-268-3400,841866,0016000000Q8I9RAAV
"Mimeo.com, Inc.","Technology, Information and Internet",201-500,NY,http://www.mimeo.com,+1 212-847-3000,12469,0016000000T9RxQAAV
"ASTADIA, INC.",IT Services and IT Consulting,201-500,NH,http://astadia.com,+1 877-727-8234,34357,0016000000T9SAnAAN
Primary Wave Music,Musicians,Nov-50,NY,http://www.primarywave.com,+1 212-387-9030,881265,0016000000T9WvRAAV
"Roth Capital Partners, LLC",Investment Banking,51-200,CA,http://www.roth.com,+1 949-720-5700,19644,0016000000T9XScAAN
FIELD WROK CHICAGO DOWNTOWN,Market Research,51-200,IL,http://www.fieldwork.com,+1 312-285-2040,51698,0016000000Ui4URAAZ
"Surya, Inc.",Manufacturing,10-Feb,GA,http://www.surya.com,+1 877-275-7847,283252,0016000000V7Zk3AAF
Midwest Holding Inc.,Financial Services,Nov-50,NE,http://www.midwestholding.com,+1 402-489-8266,1939425,0016000000V9S6VAAV
"Forum Ventures, LLC",Venture Capital and Private Equity Principals,10-Feb,CA,http://www.acceleprise.vc,+1 206-799-3945,3766769,0013200001Gp7qyAAB
"Morris, Nichols, Arsht & Tunnell LLP",Law Practice,51-200,DE,http://www.mnat.com,+1 302-658-9200,64288,0016000000VuwU4AAJ
"Cornerstone Research Group, Incorporated",Defense and Space Manufacturing,51-200,OH,http://www.crgrp.com/,+1 937-320-1877,335391,0016000000ZyeOgAAJ
Melink Corporation,Renewable Energy Semiconductor Manufacturing,51-200,OH,http://www.melinkcorp.com,+1 513-965-7300,75987,0016000000aDlarAAC
William Vaughan Company,Accounting,51-200,OH,http://www.wvco.com,+1 419-891-1040,238347,0016000000cRoJEAA0
Sweyer Property Management,Real Estate,Nov-50,NC,http://www.wilmingtonforrent.com/,+1 910-256-3031,5674316,0013200001HVoMYAA1
DFCU Financial.,Banking,201-500,MI,http://www.dfcufinancial.com,+1 313-336-2700,73445,0016000000e9UODAA2
North Shore Bank,Banking,501-1000,WI,http://www.northshorebank.com,+1 262-797-3858,25042,0016000000Ui4vTAAR
EQ3 Ltd,Furniture and Home Furnishings Manufacturing,201-500,MB,http://www.eq3.com,+1 204-957-8018,46519,0016000000lbw7RAAQ
"FNBT HQ, LLC",Banking,10-Feb,TX,https://www.1stnb.com/,+1 254-554-6699,18970175,0016000000MFwNbAAL
Gate Petroleum Company,Retail,1001-5000,FL,www.gatepetro.com,+1 904-737-7220,102397,0016000000Q8IAuAAN
"Town Pump, Inc.",Retail,1001-5000,MT,http://www.townpump.com/,+1 406-497-6700,9395783,0016000000Q8GyqAAF
"Fisher Auto Parts, Inc.",Motor Vehicle Manufacturing,1001-5000,VA,http://www.fisherautoparts.com,+1 540-885-8901,1984779,0016000000Q8H4rAAF
Herbst Enterprises Inc,Motor Vehicle Manufacturing,Nov-50,NV,http://www.terribleherbst.com,+1 702-798-6400,101852,0016000000Q8I3aAAF
"Hungry Man, Inc.",Entertainment Providers,Nov-50,NY,http://hungryman.com/,+1 212-625-5600,55320,0016000000RXLsEAAX
"First Weber, Inc.",Real Estate,1001-5000,WI,http://www.firstweber.com,+1 608-443-2300,24056,0016000000T9S66AAF
"D Magazine Partners, L.P.",Book and Periodical Publishing,51-200,TX,http://www.dmagazine.com,+1 214-939-3636,23220,0016000000T9TEBAA3
Pillar To Post Inspections,Real Estate,10-Feb,ON,http://www.pillartopostfranchise.com,+1 315-424-9970,47281,0016000000T9To5AAF
Traliant LLC,E-Learning Providers,1,NY,http://www.traliant.com,+1 929-202-7288,7587245,0013200001GoXdvAAF
Cohen Milstein Sellers & Toll Pllc,Law Practice,51-200,DC,http://www.cohenmilstein.com,+1 202-408-4600,54658,0016000000T9VUkAAN
P C Gibbons Pac Inc,Law Practice,201-500,NJ,http://www.gibbonslaw.com,+1 973-596-4500,27699,0016000000T9X6qAAF
"Corinthian Capital Group, LLC",Venture Capital and Private Equity Principals,1001-5000,NY,http://www.corinthiancap.com,+1 212-920-2300,141304,0016000000qkIXdAAM
New Breed Marketing LLC,Advertising Services,10-Feb,VT,http://newbreedmarketing.com,+1 802-655-0800,76687,0016000000Ui4A9AAJ
Mayco International LLC,Motor Vehicle Manufacturing,501-1000,MI,http://www.maycointernational.com/company,+1 586-803-6000,1058032,0016000000V7aHJAAZ
Hospitality Ventures LLC,Hospitality,201-500,NC,http://www.theumstead.com,+1 919-447-4000,96959,0016000000VuwJoAAJ
Cyber Advisors Inc.,IT Services and IT Consulting,Nov-50,MN,http://www.cyberadvisors.com,+1 952-924-9990,152063,0016000000WFzpPAAT
SILK TECHNOLOGIES INC.,Software Development,51-200,MA,silk.us/,+1 877-982-2555,56412686,0016000000e7PgPAAU
"Trendy Minds, Inc.",Advertising Services,Nov-50,IN,https://trendyminds.com/,+1 317-926-1727,1025575,0016000000e7Q1xAAE
McLanahan Corporation,Machinery Manufacturing,201-500,PA,http://www.mclanahan.com,+1 814-695-9807,1109027,0016000000e8L3JAAU
Crave InfoTech,IT Services and IT Consulting,Nov-50,NJ,http://www.craveinfotech.com,+1 844-272-8348,294920,0013200001Em7E0AAJ
Bar Harbor Bank & Trust,Banking,201-500,ME,http://www.barharbor.bank,+1 207-288-3314,112267,0016000000huqn2AAA
Lipman Family Farms,Farming,201-500,FL,http://www.lipmanfamilyfarms.com,+1 800-547-4618,22346620,0010d00001JSOhEAAX
The Bizzell Group LLC,Business Consulting and Services,Nov-50,MD,http://www.thebizzellgroup.com,+1 301-459-0100,10298173,0010d00001JkjZqAAJ
Innovative Insurance Brokers INC,Insurance,10-Feb,NY,http://www.teamifg.com,+1 888-241-1470,5099304,0010d00001JlR6oAAF
"OJ Commerce, LLC","Technology, Information and Internet",Nov-50,FL,http://www.ojcommerce.com,+1 954-519-2555,803636,0016000000lb1PQAAY
United Premier Soccer League Inc.,Spectator Sports,10-Feb,CA,http://www.upsl.com,+1 714-631-5431,17875313,0010d00001JnbVUAAZ
DeepSig Inc.,Software Development,Nov-50,VA,https://deepsig.io,+1 703-340-1451,10977091,0010d00001JuRKmAAN
Execupower Limited Liability Company,Utilities,51-200,PA,http://www.execupower.com,+1 484-804-2800,11058844,0010d00001JuTDwAAN
Auxia Inc.,Software Development,10-Feb,CA,https://www.auxia.io/,,81963118,0016Q00002BULsIQAX
"Infinity Natural Resources, LLC",Oil and Gas,10-Feb,WV,https://infinitynaturalresources.com/,+1 304-212-2350,22339300,0010d00001U5K9sAAF
"Keycard Labs, Inc.",Software Development,10-Feb,FL,keycard.sh,+1 902-410-8271,,0016Q00002AkGr6QAF
Glencore Canada Corporation,Mining,1001-5000,ON,,,101826632,0016Q00002AlRgdQAF
SOLUTION ONE INDUSTRIES INC,Defense and Space Manufacturing,501-1000,TX,https://www.1soi.com/,+1 254-616-6600,35507851,0016Q00001VnmcNQAR
"Iterative Scopes, LLC",Software Development,10-Feb,MA,https://www.iterativescopes.com,+1 703-343-0143,28171531,0010d00001Q0oCFAAZ
Procurement Partners LLC,IT Services and IT Consulting,10-Feb,IL,http://www.procurementpartners.com,+1 866-527-1190,2239729,0010d00001SsqlEAAR
"Taysha Gene Therapies, Inc.",Biotechnology,51-200,TX,https://tayshagtx.com/,+1 262-822-6463,42784552,0010d00001T9CySAAV
American Battery Metals Corporation,Mining,1,NV,http://www.batterymetals.com,+1 775-473-4744,18994359,0010d00001T9bR1AAJ
Linkbank,Banking,10-Feb,PA,https://linkbank.com/,+1 717-458-9095,35470869,0010d00001Stp6DAAR
Marc Anthony Cosmetics Ltd,Manufacturing,51-200,ON,http://www.mavbeautybrands.com/,+1 905-530-2500,18953566,0010d00001SsjikAAB
Mize Cpas Inc.,Accounting,201-500,KS,http://www.mizecpas.com,+1 785-233-0536,64608640,0010d00001TBEGlAAP
Solo LLC,Renewable Energy Semiconductor Manufacturing,10-Feb,UT,https://gosolo.io,+1 888-316-5845,18806592,0010d00001T9WSYAA3
SOFCOM (PRIVATE) LIMITED,IT Services and IT Consulting,10-Feb,CA,http://www.sofcom.net,555-555-5555,693832,0010d00001TBFKuAAP
"CopyAI, Inc",Information Services,10-Feb,TN,https://www.copy.ai/,,9230366,0016Q00001XLhDUQA1
lnvestiFi Inc,Financial Services,10-Feb,DE,www.cryptofi.tech/,+1 888-526-2149,74751200,0016Q00001hQconQAC
"Kratos Industries, LLC","Appliances, Electrical, and Electronics Manufacturing",51-200,CO,http://www.kratosind.com,+1 720-588-4155,64955271,0016Q00001df7fpQAA
Etherio Group,Hospitality,51-200,FL,https://etheriogroup.com/,+1 561-300-6645,68963341,0010d00001VBtlaAAD
"Terray Therapeutics, Inc.",Biotechnology Research,10-Feb,CA,https://terraytherapeutics.com/,+1 347-831-4318,18805725,0010d00001VBv44AAD
Tcc Wireless Inc,Wireless Services,1001-5000,IL,http://www.tccmobile.com,+1 630-480-2224,11189707,0010d00001VC8bRAAT
"Remedy Medical Properties, Inc.",Real Estate,51-200,IL,www.remedymed.com,+1 312-872-4120,68638773,0010d00001UGDxBAAX
Opsera Inc,Software Development,10-Feb,CA,https://www.opsera.io/,+1 408-802-4231,42356409,0010d00001TBfzhAAD
Balbhas Business Sysnomics LLC,IT Services and IT Consulting,10-Feb,GA,www.balbhas.com,,14629038,0010d00001VCIckAAH
Lagom Kitchen Company,Manufacturing,10-Feb,CA,http://fromourplace.com,+1 949-933-2647,18990912,0010d00001UGksQAAT
Rock Solid Uk Ltd,Software Development,Nov-50,AR,http://nuqleous.com,+1 833-687-5368,67506897,0010d00001UHHgBAAX
Agent Boost Marketing,Insurance,51-200,UT,https://agentboost.com/,+1 855-378-1451,18025412,0010d00001UG4YlAAL
"Brightnight, LLC",Renewable Energy Semiconductor Manufacturing,Nov-50,FL,http://www.brightnightenergy.com,+1 888-614-2626,14830888,0010d00001TBbSPAA1
"Codetru, Inc.",IT Services and IT Consulting,10-Feb,IL,http://www.codetru.com,+1 847-979-8294,31490338,0010d00001TBkYfAAL
"LS BDC Adviser, LLC",Financial Services,Nov-50,FL,https://www.lafayettesquare.com/,,72228862,0010d00001VBLWlAAP
Rx Connect Specialty Pharmacy,Pharmaceutical Manufacturing,10-Feb,ON,https://www.rxconnect.ca/,+1 647-417-1123,35719462,0010d00001VBiJDAA1
Distillery VFX Inc,"Movies, Videos, and Sound",1,BC,https://www.distilleryvfx.com/,+1 604-875-8980,65012252,0010d00001VBrAVAA1
ADVANCE SOLUTIONS CORPORATION (NJ),IT Services and IT Consulting,10-Feb,GA,https://www.advancesolutions.com/,+1 770-462-2070,11255444,0010d00001U4JGxAAN
"My Mountain Mover, Inc",Outsourcing and Offshoring Consulting,10-Feb,CA,https://mymountainmover.com/,+1 909-610-9793,65616064,0010d00001UEsjuAAD
ETHGlobal,"Technology, Information and Internet",10-Feb,CA,https://ethglobal.co/?ref=linkedin,,11715367,0010d00001UGZHAAA5
Peoplebox,Software Development,51-200,CA,http://www.peoplebox.ai,,14384500,0010d00001UIGfuAAH
Jack Cooper Holdings Corp.,Truck Transportation,1001-5000,MO,https://www.jackcooper.com/home/default.aspx,+1 816-983-4000,92443,0010d00001VB9v9AAD
Darling Ingredients Inc.,Renewable Energy Semiconductor Manufacturing,10001+,KY,http://www.naturesafe.com,+1 859-781-2010,10616973,0010d00001UG2zkAAD
"Cere Merger Sub, Inc.",IT Services and IT Consulting,10-Feb,CA,http://www.ceremorphic.ai,+1 408-748-3385,13400728,0010d00001UG5IbAAL
FLORIDA EVERBLADES,Spectator Sports,51-200,FL,www.floridaeverblades.com,,42394420,0016Q000029kwJzQAI
Rocket Science Group 🔜 Gamescom,Computer Games,51-200,MA,https://www.rocketscience.gg,,81559359,0016Q000027mkz5QAA
Starbucks Corporation,Advertising Services,10001+,CA,www.starbucks.com,9.16377E+11,70453555,0016Q000027nIFhQAM
Archi's Academy,Software Development,Nov-50,IL,https://www.archisacademy.com,+1 240-479-9607,42886664,0016Q00001VqRhRQAV
Strawberry.me,Consumer Services,Nov-50,CA,www.strawberry.me,,103314633,0016Q00002BUTNNQA5
Ontario Centre of Innovation Inc.,Non-profit Organizations,51-200,ON,https://www.oc-innovation.ca/,+1 416-861-1092,70952263,0016Q00001VoiRVQAZ
Navkar Consultancy Services (Canada) Inc.,Accounting,10-Feb,ON,https://www.ncscorp.ca,+1 647-872-0440,14376638,0016Q00001VojHXQAZ
"Lumistry, LLC",Software Development,51-200,TX,lumistry.com,,82784864,0016Q000027nEcAQAU
Xerimis Inc.,Pharmaceutical Manufacturing,51-200,NJ,http://www.xerimis.com,+1 856-727-9940,864076,0016000000lcjDnAAI
"Northern Air, Inc.",Airlines and Aviation,51-200,MI,http://www.northernjet.net/,+1 800-462-7709,660285,0016000000m3GkMAAU
"Topographic Om, Inc.",Oil and Gas,51-200,OK,http://www.topographic.com,+1 405-843-4847,984365,0016000000m3nhvAAA
QCA Systems Ltd,Automation Machinery Manufacturing,Nov-50,BC,http://www.qcasystems.com/,+1 604-940-0868,5328853,0013200001By7LQAAZ
GECU,Financial Services,201-500,TX,http://www.gecu.com,+1 915-778-9221,91017,0016000000m45rBAAQ
Tpf Software Inc.,Software Development,Nov-50,NC,http://www.tpfsoftware.com,+1 919-676-5501,1273725,0016000000skSK1AAM
"AMERICAN ELECTRONIC WARFARE ASSOCIATES, INCORPORATED",Defense and Space Manufacturing,201-500,MD,http://www.amewas.com,+1 301-863-7102,2927306,0016000000n7BxyAAE
CorTrust Bank,Banking,51-200,SD,http://www.cortrustbank.com,+1 605-996-7775,1119372,0016000000skSsEAAU
Fabricland Distributors Inc,Retail,1001-5000,ON,http://www.fabricland.ca,+1 416-658-2200,81991980,0013200001By6NKAAZ
EI Associates,Architecture and Planning,51-200,NJ,http://www.eiassociates.com,+1 973-775-7777,81401,0016000000skUBsAAM
Casino Del Sol,Gambling Facilities and Casinos,5001-10000,AZ,http://casinodelsolresort.com,+1 855-765-7829,113127,0013200001DHkFfAAL
"Meundies, Inc.",Retail Apparel and Fashion,Nov-50,CA,https://www.meundies.com/,+1 888-552-6775,2585174,00160000010sUmyAAE
