Account Name,Industry,Employee range,State (Bill to Address) (Address),Website,Main Phone,LinkedIn Company ID,SFDC ID,Status Result
Dreamhost,"Technology, Information and Internet",51-200,CA,https://www.dreamhost.com/,+1 714-408-1372,113790.0,0016000000UiA6xAAF,No clear status found
Mark Realty LLC,Real Estate,1001-5000,NJ,http://www.realtymarkllc.com,+1 856-457-4900,4773258.0,0010d00001JSSLYAA5,No clear status found
"Associated Agencies, Inc.",Insurance,51-200,IL,http://www.associated.cc,+1 847-427-8400,251160.0,0016000000husYqAAI,No clear status found
Joor,"Technology, Information and Internet",51-200,NY,http://www.joor.com,+1 212-673-3970,1982654.0,0016000000hxj89AAA,No clear status found
"OEP Capital Advisors, L.P.",Venture Capital and Private Equity Principals,10001+,NY,http://www.oneequity.com,+1 212-277-1500,47363.0,0016000000j6YmAAAU,No clear status found
1007937 Ontario Inc,Events Services,10-Feb,ON,http://odysseymedical.ca,+1 866-335-7600,10310564.0,0010d00001JkwmkAAB,No clear status found
i3 Broadband,Telecommunications,51-200,IL,http://www.i3broadband.com,+1 309-689-0711,22298142.0,0010d00001Jn4pUAAR,No clear status found
"FCI Constructors, Inc.",Construction,201-500,CO,http://www.fciol.com,+1 970-434-9093,812161.0,0016000000lboQrAAI,No clear status found
Air Treatment Corporation,Industrial Machinery Manufacturing,51-200,CA,http://www.airtreatment.com,+1 909-869-7975,683496.0,0016000000lc9hRAAQ,No clear status found
Gustave A. Larson Company,Wholesale,201-500,WI,https://www.galarson.com,+1 262-542-0200,711806.0,0016000000OonrNAAR,No clear status found
"Clarion Capital Partners, LLC",Financial Services,1001-5000,NY,http://www.clarion-capital.com/,+1 212-821-0111,1178164.0,0016000000j7g91AAA,No clear status found
Great Place to Work,Business Consulting and Services,51-200,CA,http://www.greatplacetowork.com,+1 415-503-1234,28924.0,0016000000T9RnVAAV,No clear status found
"ELM ENTERPRISES, L.L.C.",Utilities,1001-5000,IL,http://elmllc.com,+1 309-671-4300,331887.0,0016000000Q8FlWAAV,No clear status found
"Wood-Mode, Incorporated",Design Services,10001+,PA,http://www.woodmode.com,+1 570-374-2711,877945.0,0016000000Q8G7ZAAV,No clear status found
"United Refining, Inc.",Oil and Gas,1001-5000,PA,http://urc.com,+1 814-723-1500,765836.0,0016000000vcQA1AAM,No clear status found
Blj Worldwide Ltd.,Public Relations and Communications Services,Nov-50,NY,http://www.bljworldwide.com,+1 212-486-7070,3204304.0,0016000000T9RbTAAV,No clear status found
"One William Street Capital Management, L.P.",Financial Services,Nov-50,NY,http://www.owslp.com,+1 212-957-2500,705070.0,0016000000T9TE2AAN,No clear status found
Allmar Inc,Construction,201-500,MB,http://www.allmar.com,+1 204-668-1000,2568778.0,0016000000ZxIG4AAN,No clear status found
Velocity Trade Holdings Ltd,Financial Services,51-200,ON,http://www.velocitytrade.com/,+1 416-640-0590,615393.0,0016000000dhoCPAAY,No clear status found
"Interra Information Technologies, Inc.",IT Services and IT Consulting,Nov-50,CA,http://www.interrait.com,+1 408-451-1700,10479.0,0016000000e7Pf1AAE,No clear status found
"Gowell International, LLC",Oil and Gas,Nov-50,TX,http://www.gowellpetro.com,1 (713) 909-2555  +1.713.329.8230,2979482.0,0016000000uwB2HAAU,No clear status found
J.W. Lindsay Enterprises Limited,Construction,201-500,NS,http://www.lindsayconstruction.ca,+1 902-468-5000,600451.0,0016000000m4JLvAAM,No clear status found
Relentless Beats LLC,Entertainment Providers,10-Feb,AZ,http://relentlessbeats.com,+1 480-525-6500,15659736.0,0010d00001JSbh6AAD,No clear status found
"Golf Genius Software, LLC",Spectator Sports,10-Feb,PA,http://www.GolfGenius.com,+1 610-254-0590,5014111.0,0010d00001JkhJwAAJ,No clear status found
"Z2 Entertainment, LLC",Musicians,10-Feb,CO,http://bouldertheater.com,+1 303-786-7030,16132428.0,0010d00001JnfnYAAR,No clear status found
Innovatus Technology Consulting,IT Services and IT Consulting,Nov-50,CA,http://innovatus-tech.com,+1 619-994-4239,18345470.0,0010d00001JtW0jAAF,No clear status found
SunEdison,Renewable Energy Semiconductor Manufacturing,5001-10000,MO,http://www.sunedisoninfra.com,+1 636-474-5814,21520.0,0016000000JwsupAAB,No clear status found
United Insurance Group Career Agent Division,Insurance,51-200,MI,http://www.uigbrokerage.com/,+1 800-878-1058,570610.0,0016000000UiBtNAAV,No clear status found
Cenveo Worldwide Limited,Printing Services,5001-10000,CT,http://www.cenveo.com,+1 203-595-3000,10156.0,0016000000Q8IuvAAF,No clear status found
"Oberweis Dairy, Inc.",Dairy Product Manufacturing,501-1000,IL,https://www.oberweis.com/,+1 630-801-6100,44991.0,0016000000Q8FBUAA3,No clear status found
"New Enterprise Stone & Lime Co., Inc.",Construction,1001-5000,PA,http://www.nesl.com,+1 814-224-6883,10110556.0,0016000000Q8GPoAAN,No clear status found
"Phil Long Dealerships, Inc.",Motor Vehicle Manufacturing,1001-5000,CO,http://phillong.com,+1 719-575-7000,119679.0,0016000000Q8JKEAA3,No clear status found
"Historic Tours of America, Inc.",Travel Arrangements,1001-5000,FL,http://www.historictours.com,+1 855-629-8777,74555.0,0016000000T9QaJAAV,No clear status found
PMA Canada Ltd,Beverage Manufacturing,51-200,ON,http://www.pmacanada.com/,+1 905-257-2116,130709.0,0016000000T9Qs2AAF,No clear status found
Richardson Group Inc.,Professional Training and Coaching,201-500,PA,http://www.richardson.com,+1 215-940-9255,54163390.0,0016000000T9UROAA3,No clear status found
"Exchangeright Real Estate, LLC",Real Estate,51-200,CA,http://www.exchangeright.com,+1 855-317-4448,3055890.0,0013200001GoXKiAAN,No clear status found
"Team Car Care, LLC.",Motor Vehicle Manufacturing,201-500,TX,http://teamcarcare.jiffylube.com,+1 972-812-7900,12609616.0,0016000000T9X7cAAF,No clear status found
"Teacher Created Materials, Inc.",Book and Periodical Publishing,51-200,CA,http://www.teachercreatedmaterials.com,+1 714-891-2273,56799.0,0016000000Ui56XAAR,No clear status found
"Stewart Talent Agency, Inc.",Entertainment Providers,10-Feb,NY,http://www.stewarttalent.com,+1 212-315-5505,108065.0,0016000000UiCGiAAN,No clear status found
"Krieg Devault Alexander & Capehart , LLP",Law Practice,51-200,IN,http://www.kriegdevault.com,+1 317-636-4341,23981.0,0016000000UiaygAAB,No clear status found
KSR International Co,Motor Vehicle Manufacturing,501-1000,ON,http://www.ksrint.com,+1 519-674-0858,584333.0,0016000000Ukq5xAAB,No clear status found
Onemarketdata LLC,IT Services and IT Consulting,51-200,NJ,http://www.onetick.com,+1 201-710-5977,581255.0,0016000000V7av7AAB,No clear status found
"Contract Lumber, Inc.",Wholesale Building Materials,201-500,OH,http://www.contractlumber.com,+1 740-927-4242,301142.0,0016000000dEZPPAA4,No clear status found
Canadian Football League,Spectator Sports,Nov-50,Ontario,https://www.cfl.ca/,+1 416-322-9650,1305678.0,0016000000degfFAAQ,No clear status found
"Emerline, Inc.",IT Services and IT Consulting,51-200,CA,https://emerline.com,+1 650-823-7564,17926099.0,0013200001I7zPaAAJ,No clear status found
"Express Kcs, Inc.",Advertising Services,10-Feb,PA,http://www.expresskcs.com,+1 412-961-8160,135906.0,0016000000e7PPJAA2,No clear status found
Broker Genius Inc.,IT Services and IT Consulting,Nov-50,NY,http://www.brokergenius.com,+1 718-865-9339,3202903.0,0013200001IfKS2AAN,No clear status found
"Quantum Market Research, Inc.",Software Development,51-200,NE,https://www.quantumworkplace.com/privacy-policy,+1 402-206-2386,350249.0,0016000000gCOrxAAG,No clear status found
Titleone Exchange Company,Real Estate,10-Feb,ID,https://www.titleonecorp.com,+1 208-424-8511,86549.0,0016000000huqwgAAA,No clear status found
HILLS BANK AND TRUST COMPANY,Banking,201-500,IA,https://www.hillsbank.com,+1 319-679-2291,81852.0,0016000000husblAAA,No clear status found
"Intellect Solutions, LLC",Computer and Network Security,51-200,VA,http://www.intellectsolutions.com,+1 877-691-7477,3078109.0,0016000000k6fbOAAQ,No clear status found
SB Partners LLP,Accounting,10-Feb,ON,http://www.sbpartners.ca,+1 905-632-5978,121995.0,0016000000lcZo4AAE,No clear status found
"Furniture Row, LLC",Retail,1001-5000,CO,http://www.furniturerow.com/fr/,+1 303-578-1073,115293.0,0016000000T9XIlAAN,No clear status found
Wiline Networks Inc.,IT Services and IT Consulting,51-200,CA,http://www.wiline.com,+1 650-525-9365,35529.0,0016000000HB6jRAAT,No clear status found
Castle Placement,Investment Banking,10-Feb,NY,http://www.castleplacement.com/,+1 212-418-1188,3694214.0,0013200001FYkl4AAD,No clear status found
"PCP MANAGERS, LP",Venture Capital and Private Equity Principals,1001-5000,CA,http://www.parthenoncapitalpartners.com,+1 617-960-4000,22331.0,0016000000Q8FWFAA3,No clear status found
PHOTRONICS INC,Semiconductor Manufacturing,1001-5000,CT,http://www.photronics.com,+1 203-775-9000,11035.0,0016000000Q8G71AAF,No clear status found
"Vps Convenience Store Group, LLC",Real Estate,10001+,NC,http://www.vpstores.com,+1 910-395-5300,340129.0,0016000000Q8GdCAAV,No clear status found
Ki Industries,Plastics Manufacturing,Nov-50,IL,http://www.kiindustries.com/,+1 708-449-1990,132853.0,0016000000Ys2iTAAR,No clear status found
Cartodb Inc.,"Technology, Information and Internet",1,NY,https://carto.com,+1 917-463-3232,5084329.0,00160000013S94LAAS,No clear status found
CONTAX Inc.,IT Services and IT Consulting,Nov-50,ON,http://www.contax.com,+1 416-927-1913,326458.0,0016000000R5o2qAAB,No clear status found
One Planet Ops Inc.,"Technology, Information and Internet",201-500,CA,http://www.oneplanetops.com,+1 925-983-2800,6629910.0,0013200001GnuTjAAJ,No clear status found
"Farouk Systems, Inc.",Personal Care Product Manufacturing,1001-5000,TX,http://www.farouk.com,+1 281-876-2000,707765.0,0016000000T9W1eAAF,No clear status found
"Fortex Corporate Communications, LLC",Advertising Services,10-Feb,NY,http://www.thegutenberg.com,+1 212-239-8475,63602.0,0016000000T9WqCAAV,No clear status found
US Cloud Lc,IT Services and IT Consulting,Nov-50,MO,www.uscloud.com/,+1 800-200-8440,24999191.0,0016000000UiAB5AAN,No clear status found
CSIG Holding,Business Consulting and Services,10-Feb,IL,http://www.csig.com,+1 312-431-0450,55614.0,0016000000UiBQnAAN,No clear status found
Macaroni Kid LLC,Online Audio and Video Media,51-200,NY,http://www.macaronikid.com,+1 631-726-1412,392569.0,0016000000UiCBFAA3,No clear status found
"Automated Systems Design, Inc.",IT Services and IT Consulting,Nov-50,GA,http://www.asd-usa.com,+1 770-740-2300,223109.0,0016000000UiCNlAAN,No clear status found
Thermo Design Engineering Ltd,Oil and Gas,501-1000,AB,http://www.thermodesign.com,+1 780-440-6064,881684.0,0016000000WgomuAAB,No clear status found
Big Night Entertainment,Hospitality,10-Feb,MA,http://www.bneg.com,+1 617-338-4343,1036403.0,0016000000dDfTKAA0,No clear status found
Ortholite,Manufacturing,10-Feb,MA,http://ortholite.com,+1 413-253-0208,863775.0,0013200001HZ8AVAA1,No clear status found
Alexco Resource Corp,Environmental Services,51-200,BC,http://www.ensero.com,+1 604-633-4888,961340.0,0016000000eVlDWAA0,No clear status found
Owl Labs Inc,Telecommunications,51-200,MA,https://www.owllabs.com/,+1 941-928-2621,12903786.0,0013200001IfKdAAAV,No clear status found
Adeptia Inc.,Software Development,Nov-50,IL,https://adeptia.com,+1 312-229-1727 ext. 111,79129.0,0016000000hurduAAA,No clear status found
Leoch Battery Corporation,"Appliances, Electrical, and Electronics Manufacturing",10001+,CA,http://www.leoch.us,+1 949-588-5853,1594743.0,0016000000k7TE7AAM,No clear status found
"G.A. West & Co., Inc.",Construction,501-1000,AL,http://www.gawest.com,+1 251-679-1965,702394.0,0016000000Q8ET6AAN,No clear status found
EC Innovations USA Inc,Translation and Localization,10-Feb,DE,http://www.ECInnovations.com,+1 773-754-8208,1968866.0,0016000000slBKdAAM,No clear status found
Auto Warehousing Co.,Motor Vehicle Manufacturing,501-1000,WA,http://www.autowc.com,+1 253-922-0540,279550.0,0016000000Q8GlmAAF,No clear status found
"Warehouse Home Furnishings Distributors, Inc.",Retail,1001-5000,GA,http://www.farmersfurniture.com,+1 800-456-0424,10334571.0,0016000000Q8GuQAAV,No clear status found
"Peter Piper, Inc.",Restaurants,1001-5000,AZ,http://www.peterpiperpizza.com,+1 480-609-6400,93632.0,0016000000Q8I1vAAF,No clear status found
"SIZZLING PLATTER, LLC",Restaurants,1001-5000,UT,http://www.sizzlingplatter.com,+1 801-268-3400,841866.0,0016000000Q8I9RAAV,No clear status found
"Mimeo.com, Inc.","Technology, Information and Internet",201-500,NY,http://www.mimeo.com,+1 212-847-3000,12469.0,0016000000T9RxQAAV,No clear status found
"ASTADIA, INC.",IT Services and IT Consulting,201-500,NH,http://astadia.com,+1 877-727-8234,34357.0,0016000000T9SAnAAN,No clear status found
Primary Wave Music,Musicians,Nov-50,NY,http://www.primarywave.com,+1 212-387-9030,881265.0,0016000000T9WvRAAV,No clear status found
"Roth Capital Partners, LLC",Investment Banking,51-200,CA,http://www.roth.com,+1 949-720-5700,19644.0,0016000000T9XScAAN,No clear status found
FIELD WROK CHICAGO DOWNTOWN,Market Research,51-200,IL,http://www.fieldwork.com,+1 312-285-2040,51698.0,0016000000Ui4URAAZ,No clear status found
"Surya, Inc.",Manufacturing,10-Feb,GA,http://www.surya.com,+1 877-275-7847,283252.0,0016000000V7Zk3AAF,No clear status found
Midwest Holding Inc.,Financial Services,Nov-50,NE,http://www.midwestholding.com,+1 402-489-8266,1939425.0,0016000000V9S6VAAV,No clear status found
"Forum Ventures, LLC",Venture Capital and Private Equity Principals,10-Feb,CA,http://www.acceleprise.vc,+1 206-799-3945,3766769.0,0013200001Gp7qyAAB,No clear status found
"Morris, Nichols, Arsht & Tunnell LLP",Law Practice,51-200,DE,http://www.mnat.com,+1 302-658-9200,64288.0,0016000000VuwU4AAJ,No clear status found
"Cornerstone Research Group, Incorporated",Defense and Space Manufacturing,51-200,OH,http://www.crgrp.com/,+1 937-320-1877,335391.0,0016000000ZyeOgAAJ,No clear status found
Melink Corporation,Renewable Energy Semiconductor Manufacturing,51-200,OH,http://www.melinkcorp.com,+1 513-965-7300,75987.0,0016000000aDlarAAC,No clear status found
William Vaughan Company,Accounting,51-200,OH,http://www.wvco.com,+1 419-891-1040,238347.0,0016000000cRoJEAA0,No clear status found
Sweyer Property Management,Real Estate,Nov-50,NC,http://www.wilmingtonforrent.com/,+1 910-256-3031,5674316.0,0013200001HVoMYAA1,No clear status found
DFCU Financial.,Banking,201-500,MI,http://www.dfcufinancial.com,+1 313-336-2700,73445.0,0016000000e9UODAA2,No clear status found
North Shore Bank,Banking,501-1000,WI,http://www.northshorebank.com,+1 262-797-3858,25042.0,0016000000Ui4vTAAR,No clear status found
EQ3 Ltd,Furniture and Home Furnishings Manufacturing,201-500,MB,http://www.eq3.com,+1 204-957-8018,46519.0,0016000000lbw7RAAQ,No clear status found
"FNBT HQ, LLC",Banking,10-Feb,TX,https://www.1stnb.com/,+1 254-554-6699,18970175.0,0016000000MFwNbAAL,No clear status found
Gate Petroleum Company,Retail,1001-5000,FL,www.gatepetro.com,+1 904-737-7220,102397.0,0016000000Q8IAuAAN,No clear status found
"Town Pump, Inc.",Retail,1001-5000,MT,http://www.townpump.com/,+1 406-497-6700,9395783.0,0016000000Q8GyqAAF,No clear status found
"Fisher Auto Parts, Inc.",Motor Vehicle Manufacturing,1001-5000,VA,http://www.fisherautoparts.com,+1 540-885-8901,1984779.0,0016000000Q8H4rAAF,No clear status found
Herbst Enterprises Inc,Motor Vehicle Manufacturing,Nov-50,NV,http://www.terribleherbst.com,+1 702-798-6400,101852.0,0016000000Q8I3aAAF,No clear status found
"Hungry Man, Inc.",Entertainment Providers,Nov-50,NY,http://hungryman.com/,+1 212-625-5600,55320.0,0016000000RXLsEAAX,No clear status found
"First Weber, Inc.",Real Estate,1001-5000,WI,http://www.firstweber.com,+1 608-443-2300,24056.0,0016000000T9S66AAF,No clear status found
"D Magazine Partners, L.P.",Book and Periodical Publishing,51-200,TX,http://www.dmagazine.com,+1 214-939-3636,23220.0,0016000000T9TEBAA3,No clear status found
Pillar To Post Inspections,Real Estate,10-Feb,ON,http://www.pillartopostfranchise.com,+1 315-424-9970,47281.0,0016000000T9To5AAF,No clear status found
Traliant LLC,E-Learning Providers,1,NY,http://www.traliant.com,+1 929-202-7288,7587245.0,0013200001GoXdvAAF,No clear status found
Cohen Milstein Sellers & Toll Pllc,Law Practice,51-200,DC,http://www.cohenmilstein.com,+1 202-408-4600,54658.0,0016000000T9VUkAAN,No clear status found
P C Gibbons Pac Inc,Law Practice,201-500,NJ,http://www.gibbonslaw.com,+1 973-596-4500,27699.0,0016000000T9X6qAAF,No clear status found
"Corinthian Capital Group, LLC",Venture Capital and Private Equity Principals,1001-5000,NY,http://www.corinthiancap.com,+1 212-920-2300,141304.0,0016000000qkIXdAAM,No clear status found
New Breed Marketing LLC,Advertising Services,10-Feb,VT,http://newbreedmarketing.com,+1 802-655-0800,76687.0,0016000000Ui4A9AAJ,No clear status found
Mayco International LLC,Motor Vehicle Manufacturing,501-1000,MI,http://www.maycointernational.com/company,+1 586-803-6000,1058032.0,0016000000V7aHJAAZ,No clear status found
Hospitality Ventures LLC,Hospitality,201-500,NC,http://www.theumstead.com,+1 919-447-4000,96959.0,0016000000VuwJoAAJ,No clear status found
Cyber Advisors Inc.,IT Services and IT Consulting,Nov-50,MN,http://www.cyberadvisors.com,+1 952-924-9990,152063.0,0016000000WFzpPAAT,No clear status found
SILK TECHNOLOGIES INC.,Software Development,51-200,MA,silk.us/,+1 877-982-2555,56412686.0,0016000000e7PgPAAU,No clear status found
"Trendy Minds, Inc.",Advertising Services,Nov-50,IN,https://trendyminds.com/,+1 317-926-1727,1025575.0,0016000000e7Q1xAAE,No clear status found
McLanahan Corporation,Machinery Manufacturing,201-500,PA,http://www.mclanahan.com,+1 814-695-9807,1109027.0,0016000000e8L3JAAU,No clear status found
Crave InfoTech,IT Services and IT Consulting,Nov-50,NJ,http://www.craveinfotech.com,+1 844-272-8348,294920.0,0013200001Em7E0AAJ,No clear status found
Bar Harbor Bank & Trust,Banking,201-500,ME,http://www.barharbor.bank,+1 207-288-3314,112267.0,0016000000huqn2AAA,No clear status found
Lipman Family Farms,Farming,201-500,FL,http://www.lipmanfamilyfarms.com,+1 800-547-4618,22346620.0,0010d00001JSOhEAAX,No clear status found
The Bizzell Group LLC,Business Consulting and Services,Nov-50,MD,http://www.thebizzellgroup.com,+1 301-459-0100,10298173.0,0010d00001JkjZqAAJ,No clear status found
Innovative Insurance Brokers INC,Insurance,10-Feb,NY,http://www.teamifg.com,+1 888-241-1470,5099304.0,0010d00001JlR6oAAF,No clear status found
"OJ Commerce, LLC","Technology, Information and Internet",Nov-50,FL,http://www.ojcommerce.com,+1 954-519-2555,803636.0,0016000000lb1PQAAY,No clear status found
United Premier Soccer League Inc.,Spectator Sports,10-Feb,CA,http://www.upsl.com,+1 714-631-5431,17875313.0,0010d00001JnbVUAAZ,No clear status found
DeepSig Inc.,Software Development,Nov-50,VA,https://deepsig.io,+1 703-340-1451,10977091.0,0010d00001JuRKmAAN,No clear status found
Execupower Limited Liability Company,Utilities,51-200,PA,http://www.execupower.com,+1 484-804-2800,11058844.0,0010d00001JuTDwAAN,No clear status found
Auxia Inc.,Software Development,10-Feb,CA,https://www.auxia.io/,,81963118.0,0016Q00002BULsIQAX,No clear status found
"Infinity Natural Resources, LLC",Oil and Gas,10-Feb,WV,https://infinitynaturalresources.com/,+1 304-212-2350,22339300.0,0010d00001U5K9sAAF,No clear status found
"Keycard Labs, Inc.",Software Development,10-Feb,FL,keycard.sh,+1 902-410-8271,,0016Q00002AkGr6QAF,No clear status found
Glencore Canada Corporation,Mining,1001-5000,ON,,,101826632.0,0016Q00002AlRgdQAF,No clear status found
SOLUTION ONE INDUSTRIES INC,Defense and Space Manufacturing,501-1000,TX,https://www.1soi.com/,+1 254-616-6600,35507851.0,0016Q00001VnmcNQAR,No clear status found
"Iterative Scopes, LLC",Software Development,10-Feb,MA,https://www.iterativescopes.com,+1 703-343-0143,28171531.0,0010d00001Q0oCFAAZ,No clear status found
Procurement Partners LLC,IT Services and IT Consulting,10-Feb,IL,http://www.procurementpartners.com,+1 866-527-1190,2239729.0,0010d00001SsqlEAAR,No clear status found
"Taysha Gene Therapies, Inc.",Biotechnology,51-200,TX,https://tayshagtx.com/,+1 262-822-6463,42784552.0,0010d00001T9CySAAV,No clear status found
American Battery Metals Corporation,Mining,1,NV,http://www.batterymetals.com,+1 775-473-4744,18994359.0,0010d00001T9bR1AAJ,No clear status found
Linkbank,Banking,10-Feb,PA,https://linkbank.com/,+1 717-458-9095,35470869.0,0010d00001Stp6DAAR,No clear status found
Marc Anthony Cosmetics Ltd,Manufacturing,51-200,ON,http://www.mavbeautybrands.com/,+1 905-530-2500,18953566.0,0010d00001SsjikAAB,No clear status found
Mize Cpas Inc.,Accounting,201-500,KS,http://www.mizecpas.com,+1 785-233-0536,64608640.0,0010d00001TBEGlAAP,No clear status found
Solo LLC,Renewable Energy Semiconductor Manufacturing,10-Feb,UT,https://gosolo.io,+1 888-316-5845,18806592.0,0010d00001T9WSYAA3,No clear status found
SOFCOM (PRIVATE) LIMITED,IT Services and IT Consulting,10-Feb,CA,http://www.sofcom.net,555-555-5555,693832.0,0010d00001TBFKuAAP,No clear status found
"CopyAI, Inc",Information Services,10-Feb,TN,https://www.copy.ai/,,9230366.0,0016Q00001XLhDUQA1,No clear status found
lnvestiFi Inc,Financial Services,10-Feb,DE,www.cryptofi.tech/,+1 888-526-2149,74751200.0,0016Q00001hQconQAC,No clear status found
"Kratos Industries, LLC","Appliances, Electrical, and Electronics Manufacturing",51-200,CO,http://www.kratosind.com,+1 720-588-4155,64955271.0,0016Q00001df7fpQAA,No clear status found
Etherio Group,Hospitality,51-200,FL,https://etheriogroup.com/,+1 561-300-6645,68963341.0,0010d00001VBtlaAAD,No clear status found
"Terray Therapeutics, Inc.",Biotechnology Research,10-Feb,CA,https://terraytherapeutics.com/,+1 347-831-4318,18805725.0,0010d00001VBv44AAD,No clear status found
Tcc Wireless Inc,Wireless Services,1001-5000,IL,http://www.tccmobile.com,+1 630-480-2224,11189707.0,0010d00001VC8bRAAT,No clear status found
"Remedy Medical Properties, Inc.",Real Estate,51-200,IL,www.remedymed.com,+1 312-872-4120,68638773.0,0010d00001UGDxBAAX,No clear status found
Opsera Inc,Software Development,10-Feb,CA,https://www.opsera.io/,+1 408-802-4231,42356409.0,0010d00001TBfzhAAD,No clear status found
Balbhas Business Sysnomics LLC,IT Services and IT Consulting,10-Feb,GA,www.balbhas.com,,14629038.0,0010d00001VCIckAAH,No clear status found
Lagom Kitchen Company,Manufacturing,10-Feb,CA,http://fromourplace.com,+1 949-933-2647,18990912.0,0010d00001UGksQAAT,No clear status found
Rock Solid Uk Ltd,Software Development,Nov-50,AR,http://nuqleous.com,+1 833-687-5368,67506897.0,0010d00001UHHgBAAX,No clear status found
Agent Boost Marketing,Insurance,51-200,UT,https://agentboost.com/,+1 855-378-1451,18025412.0,0010d00001UG4YlAAL,No clear status found
"Brightnight, LLC",Renewable Energy Semiconductor Manufacturing,Nov-50,FL,http://www.brightnightenergy.com,+1 888-614-2626,14830888.0,0010d00001TBbSPAA1,No clear status found
"Codetru, Inc.",IT Services and IT Consulting,10-Feb,IL,http://www.codetru.com,+1 847-979-8294,31490338.0,0010d00001TBkYfAAL,No clear status found
"LS BDC Adviser, LLC",Financial Services,Nov-50,FL,https://www.lafayettesquare.com/,,72228862.0,0010d00001VBLWlAAP,No clear status found
Rx Connect Specialty Pharmacy,Pharmaceutical Manufacturing,10-Feb,ON,https://www.rxconnect.ca/,+1 647-417-1123,35719462.0,0010d00001VBiJDAA1,No clear status found
Distillery VFX Inc,"Movies, Videos, and Sound",1,BC,https://www.distilleryvfx.com/,+1 604-875-8980,65012252.0,0010d00001VBrAVAA1,No clear status found
ADVANCE SOLUTIONS CORPORATION (NJ),IT Services and IT Consulting,10-Feb,GA,https://www.advancesolutions.com/,+1 770-462-2070,11255444.0,0010d00001U4JGxAAN,No clear status found
"My Mountain Mover, Inc",Outsourcing and Offshoring Consulting,10-Feb,CA,https://mymountainmover.com/,+1 909-610-9793,65616064.0,0010d00001UEsjuAAD,No clear status found
ETHGlobal,"Technology, Information and Internet",10-Feb,CA,https://ethglobal.co/?ref=linkedin,,11715367.0,0010d00001UGZHAAA5,No clear status found
Peoplebox,Software Development,51-200,CA,http://www.peoplebox.ai,,14384500.0,0010d00001UIGfuAAH,No clear status found
Jack Cooper Holdings Corp.,Truck Transportation,1001-5000,MO,https://www.jackcooper.com/home/default.aspx,+1 816-983-4000,92443.0,0010d00001VB9v9AAD,No clear status found
